"filename", "language", "Markdown", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "MS SQL", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\COMPLETION_REPORT.md", "Markdown", 336, 0, 0, 0, 0, 0, 0, 0, 94, 430
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\FIXES_SESSION.md", "Markdown", 136, 0, 0, 0, 0, 0, 0, 0, 45, 181
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\IMPLEMENTATION_PLAN.md", "Markdown", 202, 0, 0, 0, 0, 0, 0, 0, 52, 254
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\MONITORING_OBSERVABILITY.md", "Markdown", 699, 0, 0, 0, 0, 0, 0, 0, 158, 857
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\NEXT_STEPS.md", "Markdown", 288, 0, 0, 0, 0, 0, 0, 0, 75, 363
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\PRODUCTION_HARDENING.md", "Markdown", 690, 0, 0, 0, 0, 0, 0, 0, 164, 854
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\PROGRESS_REPORT.md", "Markdown", 219, 0, 0, 0, 0, 0, 0, 0, 63, 282
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\PROJECT_COMPLETION.md", "Markdown", 504, 0, 0, 0, 0, 0, 0, 0, 129, 633
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\README.md", "Markdown", 199, 0, 0, 0, 0, 0, 0, 0, 91, 290
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\SESSION_SUMMARY.md", "Markdown", 149, 0, 0, 0, 0, 0, 0, 0, 47, 196
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\SESSION_SUMMARY_BOOKINGS.md", "Markdown", 296, 0, 0, 0, 0, 0, 0, 0, 79, 375
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\TODO_FROM_SERVER_LOG.md", "Markdown", 33, 0, 0, 0, 0, 0, 0, 0, 10, 43
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\TWILIO_SMS_GUIDE.md", "Markdown", 299, 0, 0, 0, 0, 0, 0, 0, 83, 382
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\package.json", "JSON", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\adapter.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\indexes.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 1, -1, 5
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\mysql\migrations\002_users_orgs.sql", "MS SQL", 0, 0, 0, 0, 0, -18, 0, 2, 0, -16
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\mysql\migrations\003_volunteers_shifts.sql", "MS SQL", 0, 0, 0, 0, 0, 47, 0, 1, 4, 52
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\mysql\migrations\004_seed_test_data.sql", "MS SQL", 0, 0, 0, 0, 0, 28, 0, 5, 4, 37
