"filename", "language", "JSON with Comments", "Markdown", "YAML", "TypeScript", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "MS SQL", "PowerShell", "comment", "blank", "total"
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\.eslintrc.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\.github\workflows\ci.yml", "YAML", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 11, 44
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\API_CONTRACTS.md", "Markdown", 0, 414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 502
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\BACKUP.md", "Markdown", 0, 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 634
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\COMPLETION_REPORT.md", "Markdown", 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 430
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\COPILOT_INSTRUCTIONS.md", "Markdown", 0, 463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 573
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\DEPLOYMENT.md", "Markdown", 0, 373, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 499
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\DEVELOPMENT.md", "Markdown", 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 227
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\FIXES_SESSION.md", "Markdown", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 181
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\GETTING_STARTED.md", "Markdown", 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 350
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\GITHUB_COPILOT_TODO.md", "Markdown", 0, 855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 1010
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\IMPLEMENTATION_PLAN.md", "Markdown", 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 254
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\INSTRUCTIONS_NEXT_STEPS.md", "Markdown", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 128
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\MONITORING_OBSERVABILITY.md", "Markdown", 0, 699, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 857
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\NEXT_STEPS.md", "Markdown", 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 363
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\OPERATIONS.md", "Markdown", 0, 567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 719
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\PRODUCTION_HARDENING.md", "Markdown", 0, 690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 854
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\PROGRESS_REPORT.md", "Markdown", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 282
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\PROJECT_COMPLETION.md", "Markdown", 0, 504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 633
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\README.md", "Markdown", 0, 440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 571
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\SESSION_SUMMARY.md", "Markdown", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 196
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\SESSION_SUMMARY_BOOKINGS.md", "Markdown", 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 375
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\TODO_FROM_SERVER_LOG.md", "Markdown", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\TROUBLESHOOTING.md", "Markdown", 0, 597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 791
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\TWILIO_SMS_GUIDE.md", "Markdown", 0, 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 382
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\next.config.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\package.json", "JSON", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\src\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
